Organization,Gift Year,Gift Amount,Org-reported mission statement,Website,Org-reported geographies of service,Org-reported focus areas
"Mississippi Center for Cultural Production","2021","$1000000","Mississippi Center for Cultural Production has been organized to support groups and individuals creating social, economic, and cultural transformation toward long-term sustainability through the research, creation, and presentation of arts, culture, and agriculture.","https://sippculture.com/","South, US; Mississippi, US; Utica, MS","Multidisciplinary arts; Civic and social engagement; Agricultural development; Race and ethnicity; Regrantor"
"Mississippi Food Network","2020","$9000000","Mississippi Food Network changes lives by fighting hunger today and feeding hope for a healthier tomorrow","https://www.msfoodnet.org","Mississippi, US","Nutrition and food security"
"Mississippi Gulf Coast Community College","2021","$20000000","The mission of Mississippi Gulf Coast Community College is to meet the educational needs of the community by providing workforce pathways, certificates, diplomas, and associate transfer and applied degrees. The college embraces lifelong learning, productive citizenship, service learning, and leadership development in a dynamic and innovative learning environment.","https://mgccc.edu/","Mississippi, US","Postsecondary, tertiary education"
"Mitchell Technical College","2020","Disclosure delayed for benefit of recipient","To provide skills for success in technical careers.","https://www.mitchelltech.edu/","South Dakota, US","Livelihoods and workforce development; Postsecondary, tertiary education"
"Montana Healthcare Foundation","2022","$12000000","The Montana Healthcare Foundation makes strategic investments to improve the health and well-being of all Montanans.","https://mthcf.org/","Montana, US","Race and ethnicity; Fund; Maternal and perinatal health; Mental and behavioral health; Public health, public health infrastructure"
"Montgomery Area Food Bank","2020","Disclosure delayed for benefit of recipient","To source, acquire, and distribute nutritious food to those experiencing hunger and food insecurity throughout our region, so that families, seniors, and children can thrive.","https://mafb.org/","Autauga County, AL; Elmore County, AL; Montgomery, AL","Nutrition and food security; Public health, public health infrastructure"
"Morehouse College","2020","$20000000","For over 150 years, we have prepared young men to change the world through leadership and service—driven by innovation, technology, global cultural dexterity, and a liberal arts foundation of knowledge.","https://morehouse.edu/","United States; Atlanta, GA","Livelihoods and workforce development; Postsecondary, tertiary education; Race and ethnicity"
"Morgan State University","2020","$40000000","Morgan State University serves the community, state, nation, and world by preparing high-quality graduates for leadership. Morgan offers innovative, inclusive, and distinctive educational experiences in a comprehensive range of disciplines at all degree levels. Through collaboration, research, creativity, and service, the University prioritizes addressing societal problems, particularly within urban communities.","https://www.morgan.edu/","Northeast, US; Maryland, US; Baltimore, MD","Performing arts; Economic development; Postsecondary, tertiary education; Race and ethnicity; Public health, public health infrastructure"
"Mosaic Network and Fund","2021","Disclosure delayed for benefit of recipient","The Mosaic Network & Fund is a first-of-its-kind collaborative between 27 donors that aims to provide more equitable funding for African, Latinx, Asian, Arab, and Native American (ALAANA) arts groups in New York City.","https://www.nycommunitytrust.org/results/collaborative-funds/","New York, US","Multidisciplinary arts; Race and ethnicity; Fund"
"Mosaic Youth Theatre of Detroit","2021","$3000000","Empowering young people to maximize their potential through professional performing arts training and the creation of theatrical and musical art that engages, transforms, and inspires.","https://mosaicdetroit.org/","Michigan, US; Detroit, MI","Creative youth development; Performing arts; Elementary, secondary education; Postsecondary, tertiary education; Youth development"
"mothers2mothers International","2021","Disclosure delayed for benefit of recipient","mothers2mothers (m2m) ensures one of Africa’s greatest strengths—its women—are at the heart of our work to end AIDS by delivering primary health care services to the families that need it most and creating a thriving, healthy Africa where no one is left behind.","https://m2m.org/","Sub-Saharan Africa","Gender identity; Public health, public health infrastructure; Sexual and reproductive health and justice"
"Motown Museum","2021","$5000000","To preserve, promote and celebrate the authentic Motown Story as a platform for others to flourish as thinkers, creators, neighbors and entrepreneurs.","https://www.motownmuseum.org/","Michigan, US; United States","Museums; Race and ethnicity"
"Mount Saint Mary's University (Los Angeles)","2020","$15000000","Provide a superior education enhanced by an emphasis on building leadership skills and fostering a spirit to serve others.","https://www.msmu.edu","United States; Los Angeles, CA","Livelihoods and workforce development; Postsecondary, tertiary education; Race and ethnicity"
